<<<<<<< HEAD
barragepattenid,basevector,shotnum,shotinterval,firstangle,perangle
0,0,1,20,0,0
1,0,1,20,0,0
2,0,1,20,0,0
3,0,1,20,0,0
4,0,1,20,0,0
5,0,1,20,0,0
6,0,1,20,0,0
=======
barragepattenid,basevector,shotnum,shotfirst,shotinterval,shotlooptime,firstangle,perangle
0,0,50,10,3,10,0,0
1,0,1,10,1,10,0,0
2,0,1,10,1,10,0,0
3,0,1,10,1,10,0,0
4,0,1,10,1,10,0,0
5,0,1,10,1,10,0,0
6,0,1,10,1,10,0,0
7,0,1,10,1,10,0,0
8,0,1,10,1,10,0,0
9,0,1,10,1,10,0,0
10,0,1,10,1,10,0,0
11,0,1,10,1,10,0,0
>>>>>>> 728d08493569bcbeb0866ff4e36572065afecbc1
