spawntime,enemyid,spawnposid,movesequenceid,barragesequenceid,spawnfilp
40,0,0,0,94,0
40,0,20,0,94,0
40,0,20,0,94,1
50,0,40,0,94,1
50,0,40,0,94,0
80,0,0,0,73,0
100,0,0,0,94,0
105,0,10,0,94,0
105,0,10,0,94,1
110,0,20,0,94,0
110,0,20,0,94,1
115,0,30,0,94,0
115,0,30,0,94,1
140,0,75,3,94,0
145,0,75,3,94,0
150,0,75,3,94,0
155,0,75,3,94,0
160,0,75,3,94,0
200,0,75,3,94,1
205,0,75,3,94,1
210,0,75,3,94,1
215,0,75,3,94,1
220,0,75,3,94,1
260,0,10,4,101,0
260,0,10,4,101,1
265,0,10,4,101,0
265,0,10,4,101,1
270,0,10,4,101,0
270,0,10,4,101,1
275,0,10,4,101,0
275,0,10,4,101,1
280,0,10,4,101,0
280,0,10,4,101,1
285,0,10,4,101,0
285,0,10,4,101,1
300,1,0,5,102,0
300,0,10,5,94,0
300,0,10,5,94,1
300,0,20,5,94,0
300,0,20,5,94,1
300,0,30,5,94,0
300,0,30,5,94,1
340,1,45,6,95,0
340,1,45,6,95,1
345,0,45,6,94,0
345,0,45,6,94,1
350,0,45,6,94,0
350,0,45,6,94,1
355,0,45,6,94,0
355,0,45,6,94,1
360,0,45,6,94,0
360,0,45,6,94,1
365,0,45,6,94,0
365,0,45,6,94,1
400,1,0,2,96,0
400,0,10,2,94,0
400,0,10,2,94,1
440,0,10,5,104,0
440,0,10,5,104,1
440,0,20,5,104,0
440,0,20,5,104,1
440,0,30,5,104,0
440,0,30,5,104,1
440,0,40,5,104,0
440,0,40,5,104,1
470,1,0,0,104,0
475,0,15,0,101,0
475,0,15,0,101,1
480,0,25,0,101,0
480,0,25,0,101,1
485,0,35,0,101,0
485,0,35,0,101,1
520,2,0,2,109,0
520,0,83,8,94,0
520,0,83,9,94,0
520,0,83,10,94,0
520,0,90,8,94,0
520,0,90,9,94,0
520,0,90,10,94,0
520,0,83,8,94,1
520,0,83,9,94,1
520,0,83,10,94,1
520,0,90,8,94,1
520,0,90,9,94,1
520,0,90,10,94,1
600,0,50,11,95,0
605,0,55,11,95,0
610,0,60,11,95,0
615,0,65,11,95,0
620,0,70,11,95,0
625,0,75,11,95,1
630,0,80,11,95,1
635,0,85,11,95,1
640,0,90,11,95,1
645,0,95,11,95,1
680,1,60,8,77,0
680,1,60,8,77,1
685,0,70,9,76,0
685,0,70,9,76,1
